end_date,start_date,kwh,temp,hdd65,cdd65,gdd50
1/27/2008,12/25/2007,24.8,37,1054.0,0.0,9.0
2/25/2008,1/27/2008,24.3,43,934.0,0.0,6.0
3/24/2008,2/25/2008,24.2,53,702.0,0.0,12.0
4/26/2008,3/24/2008,24.9,59,470.0,2.0,151.0
5/25/2008,4/26/2008,40.6,73,296.0,2.0,182.0
6/25/2008,5/25/2008,70.9,79,20.0,192.0,657.0
7/24/2008,6/25/2008,59.1,76,0.0,313.0,763.0
8/24/2008,7/24/2008,49.4,73,4.0,216.0,693.0
9/23/2008,8/24/2008,32.6,61,31.0,146.0,584.0
10/22/2008,9/23/2008,28.9,50,231.0,8.0,250.0
12/25/2008,10/22/2008,27.0,32,1667.0,0.0,64.0
1/27/2009,12/25/2008,23.4,35,1267.0,0.0,4.0
2/25/2009,1/27/2009,22.4,42,1005.0,0.0,2.0
3/24/2009,2/25/2009,35.0,52,735.0,0.0,16.0
4/26/2009,3/24/2009,40.0,65,564.0,14.0,83.0
5/25/2009,4/26/2009,35.6,68,153.0,63.0,355.0
6/25/2009,5/25/2009,40.6,75,72.0,68.0,476.0
7/25/2009,6/25/2009,47.8,75,0.0,146.0,616.0
8/25/2009,7/25/2009,67.4,79,0.0,300.0,779.0
9/25/2009,8/25/2009,32.0,70,50.0,83.0,507.0
10/25/2009,9/25/2009,24.0,59,363.0,0.0,158.0
11/25/2009,10/25/2009,25.0,54,509.0,0.0,47.0
12/28/2009,11/25/2009,26.9,40,1004.0,0.0,4.0
1/27/2010,12/28/2009,24.0,34,1080.0,0.0,2.0
2/25/2010,1/27/2010,23.8,35,1114.0,0.0,0.0
3/25/2010,2/25/2010,20.8,42,622.0,0.0,21.0
4/26/2010,3/25/2010,23.4,57,427.0,18.0,146.0
5/25/2010,4/26/2010,25.4,63,205.0,42.0,305.0
6/30/2010,5/25/2010,38.2,76,18.0,300.0,833.0
7/25/2010,6/30/2010,51.0,82,0.0,329.0,719.0
8/25/2010,7/25/2010,38.4,80,0.0,291.0,771.0
9/25/2010,8/25/2010,30.4,73,25.0,148.0,604.0
10/25/2010,9/25/2010,19.5,64,273.0,22.0,226.0
11/25/2010,10/25/2010,17.6,53,568.0,0.0,62.0
12/25/2010,11/25/2010,20.6,37,1061.0,0.0,0.0
1/25/2011,12/25/2010,21.5,30,1271.0,0.0,0.0
2/25/2011,1/25/2011,19.1,31,1104.0,0.0,8.0
3/25/2011,2/25/2011,18.1,46,714.0,0.0,12.0
4/25/2011,3/25/2011,18.3,51,588.0,8.0,91.0
5/25/2011,4/25/2011,17.6,64,162.0,30.0,337.0
6/25/2011,5/25/2011,31.3,76,10.0,208.0,680.0
7/25/2011,6/25/2011,45.3,81,0.0,369.0,833.0
8/23/2011,7/25/2011,41.8,78,0.0,265.0,715.0
9/22/2011,8/23/2011,29.3,71,57.0,96.0,512.0
10/23/2011,9/22/2011,21.9,64,193.0,37.0,331.0
11/21/2011,10/23/2011,18.79,50,553.0,0.0,36.0
12/26/2011,11/21/2011,16.37,46,825.0,0.0,21.0
1/26/2012,12/26/2011,25.68,38,998.0,0.0,0.0
2/26/2012,1/26/2012,18.74,41,899.0,0.0,4.0
3/26/2012,2/26/2012,18.8,51,507.0,0.0,102.0
4/26/2012,3/26/2012,21.7,55,467.0,7.0,106.0
5/23/2012,4/26/2012,23.3,62,178.0,14.0,270.0
6/24/2012,5/23/2012,20.78,73,34.0,170.0,627.0
7/24/2012,6/24/2012,43.13,81,2.0,347.0,791.0
8/22/2012,7/24/2012,44.0,79,2.0,267.0,724.0
9/23/2012,8/22/2012,25.6,74,45.0,141.0,594.0
10/22/2012,9/23/2012,18.72,62,254.0,11.0,231.0
11/20/2012,10/22/2012,18.3,50,522.0,0.0,64.0
12/25/2012,11/20/2012,23.1,44,904.0,0.0,10.0
1/27/2013,12/25/2012,22.69,36,1156.0,0.0,0.0
2/25/2013,1/27/2013,23.03,35,1020.0,0.0,2.0
3/27/2013,2/25/2013,23.07,40,867.0,0.0,0.0
4/24/2013,3/27/2013,31.8,52,478.0,13.0,96.0
5/23/2013,4/24/2013,27.8,62,232.0,24.0,247.0
