end_date,start_date,end_date,kwh,temp,hdd65,cdd65,gdd65
7/25/2009,6/25/2009,7/25/2009,47.8,75.0,0.0,322.0,766.0
8/25/2009,7/25/2009,8/25/2009,67.4,79.0,0.0,464.0,922.0
9/25/2009,8/25/2009,9/25/2009,32.0,70.0,7.0,190.0,642.0
10/25/2009,9/25/2009,10/25/2009,24.0,59.0,231.0,16.0,268.0
11/25/2009,10/25/2009,11/25/2009,25.0,54.0,,,
12/28/2009,11/25/2009,12/28/2009,26.9,40.0,,,
1/27/2010,12/28/2009,1/27/2010,24.0,34.0,,,
2/25/2010,1/27/2010,2/25/2010,23.8,35.0,,,
3/25/2010,2/25/2010,3/25/2010,20.8,42.0,,,
4/26/2010,3/25/2010,4/26/2010,23.4,57.0,,,
5/25/2010,4/26/2010,5/25/2010,25.4,63.0,,,
6/30/2010,5/25/2010,6/30/2010,38.2,76.0,,,
7/25/2010,6/30/2010,7/25/2010,51.0,82.0,,,
8/25/2010,7/25/2010,8/25/2010,38.4,80.0,,,
9/25/2010,8/25/2010,9/25/2010,30.4,73.0,,,
10/25/2010,9/25/2010,10/25/2010,19.5,64.0,,,
11/25/2010,10/25/2010,11/25/2010,17.6,53.0,,,
12/25/2010,11/25/2010,12/25/2010,20.6,37.0,,,
1/25/2011,12/25/2010,1/25/2011,21.5,30.0,,,
2/25/2011,1/25/2011,2/25/2011,19.1,31.0,,,
3/25/2011,2/25/2011,3/25/2011,18.1,46.0,,,
4/25/2011,3/25/2011,4/25/2011,18.3,51.0,,,
5/25/2011,4/25/2011,5/25/2011,17.6,64.0,,,
6/25/2011,5/25/2011,6/25/2011,31.3,76.0,,,
7/25/2011,6/25/2011,7/25/2011,45.3,81.0,,,
8/23/2011,7/25/2011,8/23/2011,41.8,78.0,,,
9/22/2011,8/23/2011,9/22/2011,29.3,71.0,,,
10/23/2011,9/22/2011,10/23/2011,21.9,64.0,,,
11/21/2011,10/23/2011,11/21/2011,18.79,50.0,,,
12/26/2011,11/21/2011,12/26/2011,16.37,46.0,,,
1/26/2012,12/26/2011,1/26/2012,25.68,38.0,,,
2/26/2012,1/26/2012,2/26/2012,18.74,41.0,,,
3/26/2012,2/26/2012,3/26/2012,18.8,51.0,,,
4/26/2012,3/26/2012,4/26/2012,21.7,55.0,,,
5/23/2012,4/26/2012,5/23/2012,23.3,62.0,,,
6/24/2012,5/23/2012,6/24/2012,20.78,73.0,,,
7/24/2012,6/24/2012,7/24/2012,43.13,81.0,,,
8/22/2012,7/24/2012,8/22/2012,44.0,79.0,,,
9/23/2012,8/22/2012,9/23/2012,25.6,74.0,,,
10/22/2012,9/23/2012,10/22/2012,18.72,62.0,,,
11/20/2012,10/22/2012,11/20/2012,18.3,50.0,,,
12/25/2012,11/20/2012,12/25/2012,23.1,44.0,,,
1/27/2013,12/25/2012,1/27/2013,22.69,36.0,,,
2/25/2013,1/27/2013,2/25/2013,23.03,35.0,,,
3/27/2013,2/25/2013,3/27/2013,23.07,40.0,,,
4/24/2013,3/27/2013,4/24/2013,31.8,52.0,,,
5/23/2013,4/24/2013,5/23/2013,27.8,62.0,,,
6/25/2013,5/23/2013,6/25/2013,35.6,72.0,,,
7/24/2013,6/25/2013,7/24/2013,44.2,82.0,,,
8/22/2013,7/24/2013,8/22/2013,33.6,74.0,,,
9/23/2013,8/22/2013,9/23/2013,35.38,71.0,,,
10/22/2013,9/23/2013,10/22/2013,28.3,64.0,,,
11/20/2013,10/22/2013,11/20/2013,24.0,50.0,,,
12/25/2013,11/20/2013,12/25/2013,12.63,39.0,,,
1/27/2014,12/25/2013,1/27/2014,10.85,31.0,,,
2/26/2014,1/27/2014,2/26/2014,16.1,31.0,,,
3/26/2014,2/26/2014,3/26/2014,20.03,36.0,,,
4/24/2014,3/26/2014,4/24/2014,34.17,52.0,,,
5/26/2014,4/24/2014,5/26/2014,33.25,62.0,,,
6/24/2014,5/26/2014,6/24/2014,34.52,72.0,,,
7/24/2014,6/24/2014,7/24/2014,38.23,78.0,,,
8/24/2014,7/24/2014,8/24/2014,35.71,74.0,,,
9/22/2014,8/24/2014,9/22/2014,31.97,72.0,,,
10/22/2014,9/22/2014,10/22/2014,23.83,63.0,,,
11/20/2014,10/22/2014,11/20/2014,21.52,50.0,,,
12/25/2014,11/20/2014,12/25/2014,19.91,42.0,,,
1/27/2015,12/25/2014,1/27/2015,14.64,34.0,,,
2/25/2015,1/27/2015,2/25/2015,13.07,26.0,,,
3/26/2015,2/25/2015,3/26/2015,15.14,37.0,,,
4/26/2015,3/26/2015,4/26/2015,27.61,53.0,,,
5/26/2015,4/26/2015,5/26/2015,30.2,66.0,,,
6/24/2015,5/26/2015,6/24/2015,45.24,75.0,,,
7/26/2015,6/24/2015,7/26/2015,46.75,78.0,,,
8/24/2015,7/26/2015,8/24/2015,43.62,80.0,,,
9/21/2015,8/24/2015,9/21/2015,36.17,76.0,,,
10/21/2015,9/21/2015,10/21/2015,24.1,62.0,,,
11/21/2015,10/21/2015,11/21/2015,18.21,57.0,,,
12/22/2015,11/21/2015,12/22/2015,16.152,49.0,,,
1/26/2016,12/22/2015,1/26/2016,14.257,40.0,,,
